state,year,fent_gms,hydro_gms,oxy_gms
SD,2007,1766.167686001,65551.45312611401,100893.963843702
SD,2008,1631.982119557,66418.577690139,86676.390540725
SD,2009,1573.897856717,69538.567486656,88658.733961746
SD,2010,2043.577351856,73133.90802904,88411.56783078199
SD,2011,15841.474737784,79572.344468351,90016.964923878
SD,2012,1712.102035996,80009.334808349,86873.378594426
SD,2013,1734.682395596,82813.40148559,85421.304981932
SD,2014,1772.796031756,84895.465277603,105703.551828237
SD,2015,1693.418476774,79630.529627624,108438.761959287
SD,2016,1473.207357804,70293.864503506,86457.470709387
TN,2006,308341.779586741,12360774.111701343,29770670.021902304
TN,2007,731987.4889240611,13636943.004264249,33244951.81235113
TN,2008,257812.231292366,15851817.696365949,36714715.477335386
TN,2009,165021.324691048,17253011.46862666,35501556.709772505
TN,2010,211065.855230723,17104546.9143721,40306140.982272014
TN,2011,151491.593186872,179944176.38914248,43882584.68488031
TN,2012,474723519.2963326,178533890.32529458,40879343.94761448
TN,2013,130862.061230862,12587839.467109784,22789926.191902038
TN,2014,1971962.640715774,9225277.590080308,18095773.911544334
TN,2015,140455.361777624,14143582.965867722,21188936.833934613
TN,2016,196326.530713149,4428443.889309257,10965762.649076251
TX,2006,43387.189396029,6173683.700297237,1988113.298396738
TX,2007,50336.709012335,6927495.380871462,2306611.372175788
TX,2008,55048.128982732,6583624.463404574,2125993.059088449
TX,2009,51783.255293831,7478782.804849733,2428356.549791755
TX,2010,54607.342065668,8095930.510327257,2649691.5181580847
TX,2011,56240.438359401,9181153.082053946,2754400.846074637
TX,2012,60927.283906427,256090429.71466225,2844377.4572042287
TX,2013,58107.195874814,10354744.70055001,3039365.39343909
TX,2014,55348.253511609,39984640.43603722,2937865.222283994
TX,2015,56299.370181901,6339778.031248102,3142269.895485068
TX,2016,68394.168382493,6513149.461405835,3015209.606160403
UT,2006,242161.21871156,524232.867087659,1049810.983089133
UT,2007,169833.080129767,543787.456666065,1259371.63196864
UT,2008,357693.928395577,593729.605638252,1408403.1222077669
