,year,state,hydro_gms,oxy_gms,fent_gms,log_oxy,log_hydro,log_fent,gsp,unempl_rate,min_wage,medicaid_rate,log_gsp,log_unempl_rate,log_min_wage,log_medicaid_rate,snap_rate,poverty_rate,gov_dem,death_rate,log_death_rate,cluster_k3,cluster_k4,cluster_num,cluster_lab,risk_num
93,2008,CO,14478.623092134128,33509.99913299636,1642.0437739936765,0.0229469405789349,-0.2139888464957293,0.6906832122455306,255830.2,4.8,7.02,0.0868434453436079,0.4244269204542965,-0.4167947595694085,0.4687789151054113,-1.3942808378187472,-1.212544916488279,-0.4829209571296891,1,14.7725,0.5728918235432328,0,0,0,Moderate Risk,1
94,2009,CO,15291.990178464,34917.0879686956,736.889271743928,0.0470800400894432,-0.1812587199536932,0.2928885002994366,248669.1,7.3,7.28,0.0973578067634113,0.3974708492497116,0.8674613003584885,0.6429426939304466,-1.1876782050748274,-0.9360515932569008,-0.093752595382091,1,14.9699,0.6006963309835162,0,0,0,Moderate Risk,1
95,2010,CO,15159.444155984356,40631.879011493606,3944.001384263649,0.1360128045634599,-0.1864719048994686,1.1259395565234482,255660.7,8.7,7.24,0.108117746563592,0.4237976460242796,1.4259959269276012,0.6165072836155467,-0.978289483038727,-0.5809262055426325,-0.1236886232088297,1,12.6675,0.2526645922888003,1,0,0,Moderate Risk,1
96,2011,CO,21828.663957709065,42564.14448276738,10884.24354778285,0.1632713701961829,0.0318679060912164,1.6302983125457482,264310.2,8.4,7.36,0.1188086640625427,0.4553884247713562,1.3134213987997336,0.6954325364438627,-0.7722479863779184,-0.396630367122687,0.1756716550585532,1,16.1231,0.7565606112138071,1,3,3,Acute High Risk (Fentanyl-Driven),3
97,2012,CO,27383.02670373743,43916.08246547289,16078.459919095449,0.181617159329478,0.1676281233939696,1.8241660952327587,273593.9,7.9,7.64,0.1251563990388716,0.4881653138709365,1.1175623917462034,0.8752714395579361,-0.6508403229516225,-0.2589686110524513,-0.2134967066890443,1,15.0082,0.6060511962042295,1,3,1,High Risk (Prescription-Driven),2
98,2013,CO,15064.781023769188,43081.00048449888,27549.07638102315,0.1703529973330444,-0.1902230886955824,2.091741836136765,288383.5,6.9,7.78,0.1383744841322936,0.5381510739022713,0.6904708689626411,0.9630168670350016,-0.4002124877373603,-0.2207427842533897,-0.6026650684366425,1,15.5429,0.6795001814679005,1,3,1,High Risk (Prescription-Driven),2
99,2014,CO,15188.703332119325,42118.091858840846,778.2779968437037,0.157090371521943,-0.1853171989886809,0.3200077404897947,305690.9,5.0,8.0,0.195784341267576,0.5934889416625194,-0.2953143882876203,1.0981146892071756,0.6555978413806591,-0.2646459226027061,-0.093752595382091,1,16.2953,0.7789297009781534,0,0,0,Moderate Risk,1
100,2015,CO,13844.97881371982,42739.62291187777,383.8306601710524,0.1656852579277494,-0.2407872422279751,-0.0306051336803241,317992.4,3.9,8.23,0.2277600193592548,0.6309481734582418,-1.021025206281863,1.235867183339132,1.2218843809508595,-0.3441830712279596,-0.8122172632238104,1,15.368,0.6557396386470825,0,0,0,Moderate Risk,1
101,2016,CO,11397.978021747356,38688.92998360348,296.9614666110103,0.1072638994248519,-0.3572521666255301,-0.1577381330862866,327757.3,3.3,8.31,0.2402826032208534,0.6596655871475321,-1.4890801321660474,1.2829777373191382,1.4396489736280922,-0.4543712195011858,-1.2313216527981468,1,16.5808,0.8155304622618024,0,0,0,Moderate Risk,1
102,2000,CT,2910.243087417213,9947.338547348238,81.62346042433487,-0.6896225913268351,-1.1746898557014258,-0.7951296451409449,165822.4,2.4,6.15,0.1037157469553256,0.012743165047235,-2.330587358403433,-0.1580452714193373,-1.063705711223226,-1.2868807443571335,-1.470809875412053,0,9.2232,-0.3964339936486733,2,2,2,Low Risk,0
103,2001,CT,2677.848483833333,12050.693086035302,80.97505414620859,-0.5770872822141309,-1.2245125793975573,-0.7990447618132586,172834.5,3.1,6.4,0.1076990301019419,0.052067162427665,-1.6597470423414966,0.0295643113869168,-0.986399624723587,-1.3453902310985029,-1.5905539867190064,0,8.7869,-0.4939345312543267,0,0,0,Moderate Risk,1
104,2002,CT,2992.4131528480384,13264.035493758003,104.17784002250524,-0.5208039564881028,-1.1580205689181622,-0.6751922518183991,176191.6,4.3,6.7,0.1178304641360214,0.0703324811320238,-0.7398356881704345,0.24650285352484,-0.7910184060377452,-1.2787958164328117,-1.291193708451623,0,10.2713,-0.1782503700062733,0,0,0,Moderate Risk,1
105,2003,CT,3302.6091628361905,14460.688636227964,127.04744892570636,-0.4701269789914184,-1.0989702019171987,-0.5774230515345098,181230.3,5.4,6.9,0.1233356943762025,0.0971040400174266,-0.0640517138008446,0.3864823580526264,-0.6855931774236679,-1.2107839152035111,-1.3510657641051,0,8.759,-0.5003164466822151,0,0,0,Moderate Risk,1
106,2004,CT,3622.555343191573,15701.75930624291,150.17530993159792,-0.4218191547262895,-1.043609638480661,-0.4949139282021174,198282.4,5.0,7.1,0.1253012647829263,0.1824831759769125,-0.2953143882876203,0.5229620057129933,-0.6480776014873011,-1.1164238979410406,-0.7822812353970722,0,9.6133,-0.3127188265617176,0,0,0,Moderate Risk,1
107,2005,CT,3941.363393210522,16938.836700546002,173.19236397605215,-0.3773261908323925,-0.9931092394059128,-0.4244896292723302,208660.9,4.9,7.1,0.1278524737692745,0.2309230175484083,-0.3555398019437017,0.5229620057129933,-0.599481923792548,-1.068581694003932,-0.99183343018424,0,8.4563,-0.5707538600485615,0,0,0,Moderate Risk,1
108,2006,CT,9508.467692218364,68308.08230960644,413.4330525736469,0.4408005820636413,-0.4657907044844072,0.0062210382460531,222914.3,4.3,7.4,0.1260727911618042,0.2936606219292786,-0.7398356881704345,0.72148939528245,-0.6333698803657182,-1.033673739796959,-1.3810017919318385,0,11.5107,0.0549659711616153,0,0,0,Moderate Risk,1
109,2007,CT,9629.019851470372,43663.886178108965,368.45264018297433,0.1782380962627717,-0.4582463793214871,-0.05087016475054,237397.6,4.5,7.65,0.1264759998525772,0.3534283557559131,-0.6071046710321762,0.8815859591306998,-0.6256874624362437,-1.0230520025694438,-1.1115775414911933,0,12.2348,0.1807466657954471,0,0,0,Moderate Risk,1
110,2008,CT,9800.169461360923,48892.6055963402,381.8751550684388,0.2445990772454468,-0.4476962513201135,-0.0331366820227881,240576.2,5.7,7.65,0.1331562489511586,0.3660566981571996,0.1000988684074617,0.8815859591306998,-0.4988059329163091,-0.949678501883688,-1.3510657641051,0,10.7434,-0.0865245027148445,0,0,0,Moderate Risk,1
