year,state,hydro_gms,oxy_gms,fent_gms,log_oxy,log_hydro,log_fent,gsp,unempl_rate,min_wage,medicaid_rate,log_gsp,log_unempl_rate,log_min_wage,log_medicaid_rate,snap_rate,poverty_rate,gov_dem,death_rate,log_death_rate
2011,AR,77487.05577246784,79738.69321322259,748.2831021555975,0.5315828302372475,0.7905617288786642,0.3005029426312095,105107.8,8.3,6.25,0.2254400107186566,-0.4201449253628235,1.275096672389036,-0.0822259753511339,1.1812962532895939,1.311665483616216,1.8221531855291597,1,12.6401,0.24817848769630338
2012,AR,77783.95930582246,95818.17680661411,745.8592090806072,0.6393631005139445,0.7928520157105381,0.29889280835435517,107718.8,7.6,6.25,0.2226353278476399,-0.39684746137019977,0.9946934028296643,-0.0822259753511339,1.13212611605432,1.4152366554617521,2.2412575751034964,1,13.0962,0.3217065152142282
2013,AR,74982.09177601735,99866.29522986012,605.7085162101566,0.6636418033103885,0.77088182988949,0.19561769367355686,112764.6,7.2,6.25,0.2246705413259444,-0.35338282952253275,0.824026492654216,-0.0822259753511339,1.1678175556767585,1.424729923559286,1.3431767403013475,1,11.0713,-0.024960624914412994
2014,AR,89743.87525756245,113965.31853635785,672.8848699299716,0.7411262789410313,0.8785055648863036,0.24780022815871194,116151.8,6.0,6.25,0.2932467297883124,-0.3252831211594607,0.2570580222114647,-0.0822259753511339,2.336998015927725,1.3198439068205623,1.7323451020489447,1,12.55,0.2333629371422907
2015,AR,124449.22477726596,109269.16446414177,659.5615782656594,0.7164367756369603,1.0743004162631313,0.23787715989471922,117734.3,5.0,7.5,0.3072633483409266,-0.31243462803692096,-0.29531438828762036,0.7860925346167091,2.568327594316106,1.134750967240118,1.0438164620339645,0,13.8454,0.4374707721101679
2016,AR,115780.8637872876,104485.21758019409,579.0964916857971,0.6901697501373508,1.031062522553318,0.17332859476944962,119191.8,4.0,8.0,0.2943799796516159,-0.300752890447312,-0.9486322842909195,1.0981146892071756,2.3557940543887783,0.8028010524755317,1.0138804342072258,0,13.9917,0.45939344055848985
2000,CA,5514.74808665938,2463.176548126622,51.817614542994775,-1.5084377072957456,-0.7919891508262445,-1.0174783642634984,1366166.5,4.9,6.25,0.1814999462898306,2.0150188622982412,-0.3555398019437017,-0.0822259753511339,0.397711581085187,-1.1644753630336457,0.025991515924861743,1,5.8355,-1.296284790625976
2001,CA,5976.769791450898,3598.001830539216,50.904164444812324,-1.2861836182152984,-0.7438150673016627,-1.026147583636842,1387551.8,5.4,6.25,0.1956979428156904,2.0297662204691878,-0.06405171380084468,-0.0822259753511339,0.6540473082866496,-1.2867108626002066,-0.003944511901876453,1,3.6186,-2.1726807748307704
2002,CA,6670.237224054948,4320.807972495173,66.13439530569119,-1.1788011866931445,-0.6780833037129742,-0.8982899372189244,1439341.7,6.7,6.75,0.2143523071034702,2.0645593817108514,0.5985856354702078,0.28183567306940965,0.9862516286520543,-1.2720881180610935,0.14573562723181505,1,8.6703,-0.5207277953723852
2003,CA,7350.579489911813,5029.107363116026,81.05113360195607,-1.0897540621118347,-0.619926133238829,-0.7985837889078551,1530559.8,6.8,6.75,0.2240281785811024,2.1229019147996744,0.6448227642382622,0.28183567306940965,1.156558881572738,-1.2850954473621155,0.14573562723181505,1,8.9283,-0.4618675640135043
2004,CA,8029.859013639405,5731.8829534328115,95.80968020532416,-1.0130226518955932,-0.566999308388295,-0.7163901676518647,1632428.7,6.2,6.75,0.2234083408330713,2.184081134211335,0.35800350771567874,0.28183567306940965,1.145689399725624,-1.2004963815734055,0.20560768288529196,0,8.8191,-0.48659159965235854
2005,CA,8713.492482669184,6434.270870644178,110.51343360683587,-0.945210659308119,-0.518073222907534,-0.6461258783528148,1752648.9,5.4,6.75,0.2249344596757899,2.2515496611204333,-0.06405171380084468,0.28183567306940965,1.1724415338562022,-1.1265725930339194,0.17567165505855326,0,8.9735,-0.45171328615898954
2006,CA,1127939.962137207,30870.31036967446,3167.836851053277,-0.025192474942831642,2.3943781090550296,1.0170708073472994,1874851.3,4.9,6.75,0.2236665783668185,2.3155447131327076,-0.3555398019437017,0.28183567306940965,1.1502185251569275,-1.1284913826056995,-0.12368862320882976,0,9.6031,-0.314868293302198
2007,CA,746597.8733407374,44138.0813648121,2733.0723654281833,0.18457560154484348,2.1472675318755594,0.9437383433441471,1955320.9,5.4,7.5,0.2235471855675941,2.3554460275900055,-0.06405171380084468,0.7860925346167091,1.148124661130903,-1.1065591330082862,0.025991515924861743,0,10.4807,-0.13710020507909446
2008,CA,485721.38148654916,30249.90209232005,8018.98535577992,-0.037103922526333606,1.8898144169076816,1.478501788706159,1990187.9,7.3,8.0,0.2259033949993412,2.3722275990733688,0.8674613003584885,1.0981146892071756,1.189409214401208,-1.0144033121552494,0.5947760446328896,0,10.3705,-0.1586616652675445
2009,CA,268232.52938297106,59373.96830335859,4628.109704970117,0.35855810030219987,1.5342117675398452,1.2054055038059537,1919271.1,11.2,8.0,0.2358206216573588,2.3377775485112604,2.2476890532702227,1.0981146892071756,1.3623094054335985,-0.7569735042048431,0.8043282394200579,0,10.7369,-0.08776219289503617
2010,CA,189487.84185429785,83914.37458129184,1711.0063404279213,0.5615305166021789,1.3260842181438517,0.7111145470700062,1973511.9,12.2,8.0,0.2428135027096556,2.364238396170041,2.5299867599668344,1.0981146892071756,1.4833935048443576,-0.4343412669857579,1.103688517687441,0,10.5598,-0.1217509073815584
2011,CA,201425.42246308207,88520.79191395066,1540.3591467780038,0.5928855200905044,1.3626722213730165,0.6589366922361505,2049336.8,11.7,8.0,0.2430526147400276,2.400034795620752,2.3916171456593864,1.0981146892071756,1.4875217543807115,-0.1944058917812894,1.2833046846478702,1,10.7344,-0.08823841010344155
2012,CA,198752.31667847294,89677.23144501851,1354.192971641668,0.6005009141383402,1.3546713465582032,0.5949720955947776,2144089.6,10.4,8.0,0.2511810913652078,2.442949559153971,2.004658460943744,1.0981146892071756,1.6273889290006984,-0.04174080645750214,0.9839444063804876,1,10.2923,-0.17408922119805412
2013,CA,130426.19461328031,75932.86148830512,1076.1221850836707,0.5028887441852905,1.1023934925016545,0.4808526795009388,2261510.6,8.9,8.0,0.2719986653698472,2.493573195519851,1.4991276032272407,1.0981146892071756,1.98149553381706,0.05239054044755575,0.6845841281131047,1,11.1379,-0.012660851656032054
2014,CA,113602.00695927718,27394.432367697307,836.0148341892661,-0.09527840836540843,1.0196850197171978,0.3555249580382637,2399077.7,7.5,9.0,0.2001787860457032,2.54964051671776,0.9527826588450984,1.6732673727013578,0.7343144935739875,0.14100817427903367,0.9540083785537494,1,11.102,-0.019282500736533287
2015,CA,25568.894340871808,25568.91259111178,685.3633682053215,-0.13573952896458683,0.126578346107285,0.25691776437886044,2559643.2,6.2,9.0,0.2473557703116896,2.6111503041049398,0.35800350771567874,1.6732673727013578,1.5616799504490042,0.15923768468529081,0.38522384984572167,1,11.3219,0.020972901509818006
2016,CA,20871.570631353225,21524.939576273035,679.0505785969009,-0.2367502553853443,0.005017776170473363,0.2523261724706642,2671100.5,5.5,10.0,0.3231481398030904,2.651619132282083,-0.008495131765037696,2.193556262106565,2.8275099015935123,0.09915024713276079,0.38522384984572167,1,11.2218,0.0027381994969573067
2000,CO,3763.4054292450523,4568.716243910798,71.51623675010654,-1.1460747676574141,-1.020771793099847,-0.8599700436192709,180693.3,2.8,5.15,0.0644728665025314,0.09428653124094138,-1.9320294523080863,-0.9804848813290687,-1.8405849134435825,-1.5608017752920593,-0.8421532910505486,0,7.8839,-0.7103388911495417
