state_name,state_abbr,year,poverty_rate,unempl_rate,gsp,min_wage,snap_rate,medicaid_rate,aca_exp,gov_dem
Michigan,MI,2003,11.4,7.2,372965.9,5.15,0.08341961161428489,0.12924752060321365,0.0,1
Minnesota,MN,2003,7.4,4.9,214847.2,5.15,0.04642874386671447,0.1110679733068016,0.0,0
Mississippi,MS,2003,16.0,6.3,73587.2,5.15,0.12403915613085327,0.2100008646200274,0.0,1
Missouri,MO,2003,10.7,5.6,205194.2,5.15,0.10360662927454937,0.17281071243350662,0.0,1
Montana,MT,2003,15.1,4.7,25647.4,5.15,0.07755292889531659,0.08937289997064037,0.0,0
Nebraska,NE,2003,9.8,3.9,66402.1,5.15,0.05708072329972283,0.11271089004470727,0.0,0
Nevada,NV,2003,10.9,5.1,90367.5,5.15,0.049515085488138384,0.07545589968205972,0.0,0
New Hampshire,NH,2003,5.8,4.3,51378.2,5.15,0.034991092636579575,0.0784824665583198,0.0,0
New Jersey,NJ,2003,8.6,5.8,404967.3,5.15,0.03941764377481718,0.09406373519107698,0.0,1
New Mexico,NM,2003,18.1,5.9,62865.4,5.15,0.10374824108131024,0.21773096559709498,0.0,1
New York,NY,2003,14.3,6.4,902544.3,5.15,0.07483002527281715,0.19417995645480515,0.0,0
North Carolina,NC,2003,15.7,6.4,309351.3,5.15,0.07710607573688623,0.1381702418319689,0.0,1
North Dakota,ND,2003,9.7,3.7,22072.5,5.15,0.062088203663960104,0.08993185841954739,0.0,0
Ohio,OH,2003,10.9,6.2,424426.6,4.25,0.07480689628876373,0.13794142925955427,0.0,0
Oklahoma,OK,2003,12.8,5.5,105130.0,5.15,0.10850519787770921,0.14559621237972525,0.0,1
Oregon,OR,2003,12.5,8.1,127153.5,6.9,0.11230188172891738,0.11647877191478997,0.0,1
Pennsylvania,PA,2003,10.5,5.7,454517.0,5.15,0.06648232217811595,0.12028332419368681,0.0,1
Rhode Island,RI,2003,11.5,5.3,40249.7,6.15,0.0691357194994689,0.16711376945923898,0.0,0
South Carolina,SC,2003,12.7,6.9,130313.7,5.15,0.10855994161381703,0.20977390292791095,0.0,0
South Dakota,SD,2003,12.7,3.5,27196.8,5.15,0.06700806176012696,0.1242521889308904,0.0,0
Tennessee,TN,2003,14.0,5.6,203328.4,5.15,0.12454316246828728,0.22915100553848175,0.0,1
Texas,TX,2003,17.0,6.7,829722.9,5.15,0.08499291291865968,0.12506298530915466,0.0,0
Utah,UT,2003,9.1,5.6,79138.0,5.15,0.04475587645971399,0.07996654431501223,0.0,0
Vermont,VT,2003,8.5,4.3,21124.0,6.25,0.06689724823503135,0.20757682185874424,0.0,0
Virginia,VA,2003,10.0,4.1,310132.7,5.15,0.05346982894069033,0.08261597667537172,0.0,1
Washington,WA,2003,12.6,7.4,257830.2,7.01,0.06618354994950128,0.1523444430519412,0.0,1
West Virginia,WV,2003,17.4,6.0,46747.5,5.15,0.13623058056221532,0.16237477894051466,0.0,1
Wisconsin,WI,2003,9.8,5.7,203048.5,5.15,0.05415367892009112,0.13479898445084076,0.0,1
Wyoming,WY,2003,9.8,4.3,21057.8,5.15,0.05026487080223973,0.11395502658639436,0.0,1
Alabama,AL,2004,16.9,5.7,146886.7,5.15,0.1098258139032372,0.1726545551499549,0.0,0
Alaska,AK,2004,9.2,7.5,34987.9,7.15,0.07481275197713891,0.14888075888157795,0.0,0
Arizona,AZ,2004,14.4,5.0,205390.5,5.15,0.09368686314707866,0.17989566917014424,0.0,1
Arkansas,AR,2004,15.1,5.7,84557.0,5.15,0.12599293155654864,0.2110400969419781,0.0,0
California,CA,2004,13.3,6.2,1632428.7,6.75,0.052270081869703805,0.22340834083307134,0.0,0
Colorado,CO,2004,10.0,5.5,204374.6,5.15,0.05284793726269193,0.08620893536258804,0.0,0
